Group,Dana,Mineral,Mineral_Lowercase,Mineral_CJML
Native elements,01.00.00.00,Antitaenite,antitaenite,"""antitaenite"","
Native elements,01.00.00.00,Rhenium,rhenium,"""rhenium"","
Native elements,01.00.00.00,Tantalum,tantalum,"""tantalum"","
Native elements,01.00.00.00,Titanium,titanium,"""titanium"","
Native elements,01.00.00.00,Tongxinite,tongxinite,"""tongxinite"","
Native elements,01.01.01,Gold,gold,"""gold"","
Native elements,01.01.01.01,Gold,gold,"""gold"","
Native elements,01.01.01.02,Silver,silver,"""silver"","
Native elements,01.01.01.03,Copper,copper,"""copper"","
Native elements,01.01.01.04,Lead,lead,"""lead"","
Native elements,01.01.01.05,Aluminum,aluminum,"""aluminum"","
Native elements,01.01.02,Auricupride,auricupride,"""auricupride"","
Native elements,01.01.02.01,Auricupride,auricupride,"""auricupride"","
Native elements,01.01.02.02,Tetra-auricupride,tetra-auricupride,"""tetra-auricupride"","
Native elements,01.01.02.03,Yuanjiangite,yuanjiangite,"""yuanjiangite"","
Native elements,01.01.03.01,Maldonite,maldonite,"""maldonite"","
Native elements,01.01.04,Anyuiite,anyuiite,"""anyuiite"","
Native elements,01.01.04.01,Anyuiite,anyuiite,"""anyuiite"","
Native elements,01.01.04.02,Hunchunite,hunchunite,"""hunchunite"","
Native elements,01.01.04.03,Novodneprite,novodneprite,"""novodneprite"","
Native elements,01.01.05.01,Zinc,zinc,"""zinc"","
Native elements,01.01.05.02,Cadmium,cadmium,"""cadmium"","
Native elements,01.01.06.01,Danbaite,danbaite,"""danbaite"","
Native elements,01.01.06.02,Zhanghengite,zhanghengite,"""zhanghengite"","
Native elements,01.01.07.01,Mercury,mercury,"""mercury"","
Native elements,01.01.08,Silver,silver,"""silver"","
Native elements,01.01.08.00,Amalgam,amalgam,"""amalgam"","
Native elements,01.01.08.01,Moschellandsbergite,moschellandsbergite,"""moschellandsbergite"","
Native elements,01.01.08.02,Schachnerite,schachnerite,"""schachnerite"","
Native elements,01.01.08.03,Paraschachnerite,paraschachnerite,"""paraschachnerite"","
Native elements,01.01.08.04,Luanheite,luanheite,"""luanheite"","
Native elements,01.01.08.05,Eugenite,eugenite,"""eugenite"","
Native elements,01.01.08.06,Weishanite,weishanite,"""weishanite"","
Native elements,01.01.09,Copper,copper,"""copper"","
Native elements,01.01.09.01,Kolymite,kolymite,"""kolymite"","
Native elements,01.01.09.02,Belendorffite,belendorffite,"""belendorffite"","
Native elements,01.01.10,Lead,lead,"""lead"","
Native elements,01.01.10.01,Leadamalgam,leadamalgam,"""leadamalgam"","
Native elements,01.01.11,Iron-Nickel,iron-nickel,"""iron-nickel"","
Native elements,01.01.11.00,Iron,iron,"""iron"","
Native elements,01.01.11.01,Kamacite,kamacite,"""kamacite"","
Native elements,01.01.11.02,Taenite,taenite,"""taenite"","
Native elements,01.01.11.03,Tetrataenite,tetrataenite,"""tetrataenite"","
Native elements,01.01.11.04,Awaruite,awaruite,"""awaruite"","
Native elements,01.01.11.05,Nickel,nickel,"""nickel"","
Native elements,01.01.11.06,Wairauite,wairauite,"""wairauite"","
Native elements,01.01.12.01,Chromium,chromium,"""chromium"","
Native elements,01.01.12.02,Chromferide,chromferide,"""chromferide"","
Native elements,01.01.12.03,Ferchromide,ferchromide,"""ferchromide"","
Native elements,01.01.13.01,Tin,tin,"""tin"","
Native elements,01.01.14.01,Indium,indium,"""indium"","
Native elements,01.01.15.01,Cupalite,cupalite,"""cupalite"","
